product_id,product_name,grna_map,description,source_filename,source_doi
95,limonene,N/A,Monoterpene produced by engineered yeast using orthogonal NPP pathway; used as a flavor and potential biofuel.,10.1038_s41467-019-11290-x.pdf,https://doi.org/10.1038/s41467-019-11290-x
97,xylitol,N/A,"Produced by engineered Saccharomyces cerevisiae via XYL1-encoded xylose reductase converting xylose. Strain SCX-5 achieves theoretical maximum yield of 1.00 g/g at 0.162 g/L/h, with 85.7% higher titer than glucose/xylose mixtures. Used as sugar substitute and platform chemical.",10.1263_jbb.106.306.pdf,10.1263/jbb.106.306
98,myo-inositol,N/A,"Produced from starch using a five-enzyme cell-free system at the 20,000-l scale, demonstrating scalability.",Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
99,α-ketoglutarate,N/A,Produced via in vitro metabolic engineering using a cell-free multi-enzyme system.,Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
101,2-butanol,N/A,"Produced in engineered Saccharomyces cerevisiae at 460.2 mg/L through B12-dependent conversion of meso-2,3-butanediol via butanone. Requires anaerobic cultivation of GPD1/GPD2 deletion strain to provide NADH surplus for the secondary alcohol dehydrogenase step.",Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
116,n-butanol,Used for ALD6 deletion in strain VSY19,"Gasoline substitute produced via engineered acetoacetyl-CoA-dependent pathway in Saccharomyces cerevisiae, achieving titers up to 859 mg/L and yields of 0.071 g/g glucose through optimization of acetyl-CoA synthesis, NADH levels, and trans-2-enoyl-CoA reductase expression.",10.1186_s13068-016-0673-0.pdf,10.1186/s13068-016-0673-0
122,Hydrogen (H2),N/A,"Produced from starch or sugars in a cell-free system using a synthetic enzymatic pathway, achieving nearly quantitative conversion with a theoretical yield of 12 H2 per glucose molecule.",Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
135,Betanin,N/A,"Red-violet natural food dye produced in Saccharomyces cerevisiae from glucose via heterologous expression of CYP76AD1W13L, MjDOD, and glucosyltransferases. Achieved titer of 17 mg/L.",10.1016_j.ymben.2017.12.008.pdf,https://doi.org/10.1016/j.ymben.2017.12.008
137,Vulgaxanthin I,N/A,"Betaxanthin pigment abundant in Beta vulgaris, with glutamine as the substituent. Used as a natural yellow pigment.",10.1016_j.ymben.2017.12.008.pdf,https://doi.org/10.1016/j.ymben.2017.12.008
147,deoxyviolacein,N/A,A violacein derivative produced as a mixture with violacein in engineered Escherichia coli hosts expressing the vioABCDE gene cluster. Can be produced as a single end-product (1.92 g/L) by expressing VioABCE without VioD. Shows weaker antiparasitic activity compared to violacein.,Microbial synthesis of violacein pigment and its potential applications.pdf,10.1080/07388551.2021.1892579
150,PHBV scaffolds,N/A,"Poly-(3-hydroxybutyrate-co-3-hydroxyvalerate) biodegradable polymer scaffolds incorporated with violacein for regenerative bone tissue engineering. Implanted in Wistar rats, they show no inflammatory reaction and promote osteointegration.",10.1186_s13568-015-0100-0.pdf,10.1186/s13568-015-0100-0
158,roseoflavin (RoF),N/A,"A natural antibiotic flavin of reddish-orange color, produced by engineered Komagataella phaffii yeast. Effective against Gram-positive bacteria and some parasitic protozoa.","ROS-Efficient production of bacterial antibiotics aminoriboflavin and roseoflavin in eukaryotic microorganisms, yeasts.pdf",10.1186/s12934-023-02129-8
159,riboflavin,N/A,"Vitamin B2, overproduced by engineered yeast strains as a precursor for flavin antibiotic synthesis. Accumulated at high titers during fermentation.","ROS-Efficient production of bacterial antibiotics aminoriboflavin and roseoflavin in eukaryotic microorganisms, yeasts.pdf",10.1186/s12934-023-02129-8
160,flavin mononucleotide (FMN),N/A,Produced by phosphorylation of riboflavin by flavokinase (PfFK) in Plasmodium falciparum; essential cofactor for enzymes like dihydroorotate dehydrogenase.,ROS-Mutation of the P. falciparum flavokinase confers resistance 2 to roseoflavin and 8-aminoriboflavin.pdf,10.1101/2024.04.04.588205
163,Roseoflavin mononucleotide (RoFMN),N/A,Phosphorylated analogue of roseoflavin produced by PfFK; acts as a toxic FMN analogue that may inhibit flavoenzymes in P. falciparum.,ROS-Mutation of the P. falciparum flavokinase confers resistance 2 to roseoflavin and 8-aminoriboflavin.pdf,10.1101/2024.04.04.588205
164,8-demethyl-8-amino-riboflavin mononucleotide (8AFMN),N/A,Phosphorylated analogue of 8-aminoriboflavin generated by PfFK; functions as a toxic FMN analogue inhibiting parasite growth.,ROS-Mutation of the P. falciparum flavokinase confers resistance 2 to roseoflavin and 8-aminoriboflavin.pdf,10.1101/2024.04.04.588205
167,Ursolic Acid,N/A,"Pentacyclic triterpenoid compound with anti-inflammatory, anti-oxidation, anti-diabetic, anti-bacterial, anti-metastatic, anti-angiogenic, and anti-tumorigenic activities. Produced via metabolic engineering in Saccharomyces cerevisiae using amyrin C-28 oxidase and cytochrome P450 reductase.",10.1002_aic.16370.pdf,10.1002/aic.16370
174,sclareol,N/A,Used in high-end fragrance manufacture; produced by specific diTPS combinations in engineered Saccharomyces cerevisiae.,10.1002_anie.201510650.pdf,10.1002/anie.201510650
175,manool,N/A,Exhibits antibiotic activities and serves as a starting material for semisynthesis of pharmaceuticals; stereoselective production of (+)-manool achieved at 310 mg/L in engineered Saccharomyces cerevisiae.,10.1002_anie.201510650.pdf,10.1002/anie.201510650
176,kolavelool,N/A,"Clerodane-type diterpene, skeleton of salvinorin A (lead drug candidate for mental disorders); produced via novel diTPS combination.",10.1002_anie.201510650.pdf,10.1002/anie.201510650
177,miltiradiene,N/A,"An abietane-type diterpene olefin produced in engineered Escherichia coli and Saccharomyces cerevisiae. It serves as a key intermediate in tanshinone biosynthesis, with previous work achieving production levels of 365 mg/L in yeast.",10.1021_ja2114486.pdf,10.1021/ja2114486
178,(-)-ambrox,N/A,Synthetic ambergris substitute used in high-end fragrances; produced via stereoselective biosynthesis in engineered Saccharomyces cerevisiae.,10.1002_anie.201510650.pdf,10.1002/anie.201510650
183,long-chain alcohols,N/A,"C6-C8 alcohols like 3-methyl-1-pentanol, 1-pentanol, 1-hexanol, 4-methyl-1-pentanol, 4-methyl-1-hexanol, and 5-methyl-1-heptanol produced by extending ketoacid carbon chains via engineered '+1' pathway.",10.1002_bab.1529.pdf,10.1002/bab.1529
185,farnesene,N/A,"Isoprenoid compound produced by engineered S. cerevisiae PE-2 strain from sugarcane juice by Amyris in Brazil, used as a precursor for biofuels and chemicals.",10.1093_femsyr_fow076.pdf,10.1002/jctb.1676
186,pinene,N/A,"Potential aviation fuel component produced in E. coli by pinene synthase and geranyl diphosphate synthase, yielding 1.5 mg/L.",metabolic-engineering-of-yarrowia-lipolytica-for-terpenoid-production-tools-and-strategies.pdf,10.1021/acssynbio.2c00569
192,glutathione,N/A,"Produced by encapsulated S. cerevisiae in equivalent yields to free cell cultures, demonstrating that the NaCS-PDMDAAC encapsulation system preserves normal cellular metabolic function.",10.1186_s12934-015-0327-0.pdf,10.1186/s12934-015-0327-0
196,N-acetylserotonin,N/A,An intermediate in the melatonin biosynthesis pathway produced by engineered Saccharomyces cerevisiae from glucose via acetylation of serotonin.,10.1002_biot.201500143.pdf,10.1002/biot.201500143
206,terephthalic acid,N/A,"Downstream product derived from muconic acid, used in PET production.",10.1016_j.ymben.2012.10.003.pdf,10.1016/j.ymben.2012.10.003
215,curcumin,N/A,"A polyphenolic compound with health-benefit effects, including anticarcinogenic activity, produced from ferulic acid by engineered Saccharomyces cerevisiae expressing heterologous enzymes such as 4-coumarate-CoA ligase (4CL1) from Arabidopsis thaliana or feruloyl-CoA synthetase (FerA) from Pseudomonas paucimobilis, and type III polyketide synthases (PKSs) from Oryza sativa or Curcuma longa.",10.1002_biot.202100400.pdf,10.1002/biot.202100400
216,2-phenylethanol,N/A,A higher alcohol flavor compound produced by diploid S. cerevisiae strains. Production was monitored to ensure genetic modifications for TTMP production did not alter other important flavor substances. The AY-D1B2 strain showed a 23.71% decrease.,10.1186_s12934-018-0907-x.pdf,https://doi.org/10.1186/s12934-018-0907-x
218,biomass,N/A,"Microbial cell mass produced during fermentation. Biomass yields on consumed sugar were relatively constant, but biomass concentration increased from 0.64 to 1.78 g/L with increasing glucose concentration in the feed. The engineered strain showed stable enzyme activities for over 40 generations in continuous culture.",10.1021_bp034156p.pdf,10.1021/bp034156p
221,acetaldehyde,N/A,"Accumulates at high levels (up to 1 g/liter) early in fermentation in the engineered strain, impairing growth and fermentation performance",10.1128_AEM.00750-06.pdf,10.1128/AEM.00750-06
223,pyruvate,N/A,Detected as an additional product in bioreactor cultivations of engineered Saccharomyces cerevisiae strain UBR2CBS-DHA-SA-AnDCT-02. Accumulated up to 2 g/L temporarily during the process before decreasing.,10.1128_AEM.70.1.159-166.2004.pdf,10.1128/AEM.70.1.159–166.2004
230,Succinic acid,CRISPR-Cas9 targeting YGLCτ3 locus (SA module integration) and YPRCτ3 locus (AnDCT-02 transporter integration),"Platform chemical produced from glycerol and CO2 using engineered Saccharomyces cerevisiae strain UBR2CBS-DHA-SA-AnDCT-02. The strain contains the DHA pathway module, SA module (MDH3-R, RofumR, TbFRDg-R), and heterologous dicarboxylic acid transporter AnDCT-02. Maximum titer of 10.7 g/L with yield of 0.22 g/g glycerol achieved in shake flask batch cultures.",10.1128_AEM.02591-07.pdf,10.1128/AEM.02591-07
232,Furoic acid,N/A,"Oxidation product of furfural by encapsulated Saccharomyces cerevisiae, formed in small amounts.",10.1002_bit.20432.pdf,10.1002/bit.20432
236,cubebol,N/A,"A sesquiterpene produced by engineered Saccharomyces cerevisiae expressing cubebol synthase from Citrus paradisi. Production was enhanced through metabolic engineering including deletion of GDH1 (NADPH-dependent glutamate dehydrogenase), overexpression of GDH2 (NADH-dependent glutamate dehydrogenase), and overexpression of the catalytic domain of HMG-CoA reductase (tHMG1). Maximum titer of 8.4 mg/L was achieved in batch fermentation.",10.1016_j.ymben.2009.07.001.pdf,10.1016/j.ymben.2009.07.001
237,patchoulol,"gRNA used for gene deletions (e.g., ROX1, YJL064W, YPL062W) and genomic integrations","A tricyclic sesquiterpene produced in engineered Saccharomyces cerevisiae, widely used in perfumes and cosmetics.",10.1021_acssynbio.0c00521.pdf,10.1021/acssynbio.0c00521
241,ethyl decanoate,N/A,"C10 fatty acid ethyl ester flavor compound with floral odor, produced by engineered Saccharomyces cerevisiae at 13.87 mg/L (9.05-fold increase over wild-type).",10.1002_bit.22726.pdf,10.1002/bit.22726
242,ethyl oleate,N/A,Long chain alkyl ester synthesized in miniemulsion system with altered cutinase selectivity,10.1002_bit.22726.pdf,10.1002/bit.22726
243,hexyl oleate,N/A,Ester produced in miniemulsion showing high esterification rates with cutinase selectivity shift,10.1002_bit.22726.pdf,10.1002/bit.22726
244,ethyl hexanoate,N/A,"C6 fatty acid ethyl ester flavor compound with anise seed aroma, produced by engineered Saccharomyces cerevisiae at 7.53 mg/L (25.89-fold increase over wild-type).",10.1007_s11274-018-2535-3.pdf,10.1007/s11274-018-2535-3
246,hexyl heptanoate,N/A,Linear alkyl ester achieving 88% yield with Amano lipase PS catalysis,10.1002_bit.22726.pdf,10.1002/bit.22726
247,hexyl decanoate,N/A,Ester showing maximum reaction rate of 0.72 mmol mg⁻¹min⁻¹ with Amano lipase PS,10.1002_bit.22726.pdf,10.1002/bit.22726
250,S-1-(o-chlorophenyl)-ethanol,N/A,Chiral alcohol produced via enantioselective reduction of o-chloroacetophenone using engineered whole-cell catalysts (E. coli and S. cerevisiae) co-expressing Candida tenuis xylose reductase and NADH recycling systems.,10.1002_bit.23002.pdf,10.1002/bit.23002
257,artemisinic acid,N/A,By-product in engineered DHAA production pathway. Also an artemisinin precursor but requires additional chemical hydrogenation. Metabolic engineering aimed to minimize AA while maximizing DHAA production.,10.1371_journal.pone.0112615.pdf,10.1371/journal.pone.0112615
258,hydrocortisone,N/A,"Anti-inflammatory drug and intermediate for steroid synthesis, produced via one-step biotransformation of acetylated cortexolone using engineered Saccharomyces cerevisiae expressing Absidia orchidis steroid 11β-hydroxylation system (CYP5311B2, CPR, Cyt b5) and Cochliobolus lunatus transporter ClCDR4.",10.1016_j.ymben.2019.10.006.pdf,https://doi.org/10.1016/j.ymben.2019.10.006
259,d-(L-a-aminoadipyl)-L-cysteinyl-D-valine,N/A,A non-ribosomal peptide antibiotic precursor produced in Saccharomyces cerevisiae.,Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
262,alkaloids,N/A,Benzylisoquinoline alkaloids produced in engineered Saccharomyces cerevisiae.,10.1038_ncomms12137.pdf,10.1038/ncomms12137
263,Triacylglycerol (TAG),N/A,"A neutral lipid composed of three fatty acids attached to a glycerol molecule, used for energy storage and industrial applications like biofuels, surfactants, and lubricants.",10.1007_s10295-018-2046-0.pdf,10.1007/s10295-018-2046-0
266,2-Phenylethanol (2-PE),N/A,"A higher aromatic alcohol with a rose-like fragrance, widely used in perfume, cosmetic, and pharmaceutical industries. Produced via the Ehrlich pathway in Saccharomyces cerevisiae.",10.1016_j.jbiosc.2018.02.010.pdf,10.1016/j.jbiosc.2018.02.010
268,total carotenoids,N/A,Total carotenoid production reached 11 mg/g DCW (72.57 mg/L) in engineered yeast strain YXWP-53 through pathway optimization and carbon source control. Production increased 367-fold compared to initial strain.,10.1002_bit.25002.pdf,10.1002/bit.25002
273,fatty acid short-chain esters (FASE),N/A,Fatty-acid-derived compounds mentioned as examples of renewable biofuels produced by engineering fatty acid biosynthesis.,10.1002_bit.260350202.pdf,10.1002/bit.260350202
280,L-lactic acid,N/A,Production from glucose and xylose using engineered Saccharomyces cerevisiae strains IBB14LA1 and IBB14LA1_5. Yields and productivities are influenced by aeration conditions and carbon source.,10.1186_s12934-018-0905-z.pdf,https://doi.org/10.1186/s12934-018-0905-z
282,santalene,N/A,A fragrance sesquiterpene produced by engineered Saccharomyces cerevisiae expressing a santalene synthase from Clausena lansium.,10.1002_bit.25683.pdf,10.1002/bit.25683
284,odd chain-length fatty alcohols,N/A,"Produced de novo in Saccharomyces cerevisiae from fatty aldehyde intermediates via endogenous aldehyde reductases (ADHs). Attained a titer of ~20 mg/L in shake flask cultures. Used in cosmetics, skin care, detergents, surfactants, solvents, and lubricants.",10.1002_bit.25856.pdf,10.1002/bit.25856
294,L-phenylacetyl carbinol (L-PAC),N/A,A cyclic compound produced via biotransformation of benzaldehyde substrate by immobilized Saccharomyces cerevisiae yeast cells in semicontinuous fermentation processes.,10.1002_bit.260360108.pdf,10.1002/bit.260360108
296,shikimate,N/A,Early precursor for high-value aromatic compounds and starter compound for the commercial influenza antiviral Tamiflu®. Produced by engineered Saccharomyces cerevisiae strains through overexpression of mutant ARO1 enzyme with disrupted shikimate kinase activity.,10.1002_bit.26037.pdf,10.1002/bit.26037
301,tyrosine-derived opioids,N/A,Complex plant secondary metabolites demonstrating the great potential of using yeast as a host to produce specialized pharmaceuticals.,10.1002_bit.26037.pdf,10.1002/bit.26037
